title,landing_page_url,pdf_path,notes
eKYB Campaign,https://landingpage.innov8tif.com/e-Know-Your-Business-Provider-in-Malaysia/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Campaign - eKYC Components for Indonesia,https://landingpage.innov8tif.com/ekyc-for-indonesia/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Campaign -- Government Digital Identity,https://landingpage.innov8tif.com/secure-digital-identity-for-government-services-in-malaysia/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Campaign - Insurance Industry_Philippines,https://landingpage.innov8tif.com/ekyc-for-insurance-industry-in-the-phillipines/,downloads/use-cases/Innov8tif_Insurance Use Case_v1.0.pdf,
Campaign - Insurance Industry_Malaysia,https://landingpage.innov8tif.com/ekyc-for-insurance-industry-in-malaysia/,downloads/use-cases/Innov8tif_Insurance Use Case_v1.0.pdf,
Campaign - Insurance Industry_Cambodia,https://landingpage.innov8tif.com/ekyc-for-insurance-industry-in-cambodia/,downloads/use-cases/Innov8tif_Insurance Use Case_v1.0.pdf,
Campaign - Insurance Industry_Indonesia,https://landingpage.innov8tif.com/ekyc-for-insurance-industry-in-indonesia/,downloads/use-cases/Innov8tif_Insurance Use Case_v1.0.pdf,
Campaign - Insurance Industry_Thailand,https://landingpage.innov8tif.com/ekyc-for-insurance-industry-in-thailand/,downloads/use-cases/Innov8tif_Insurance Use Case_v1.0.pdf,
Campaign - Fraud Report Collection,https://landingpage.innov8tif.com/Innov8tif-Fraud-Report/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Country Landing Page - Kenya,https://landingpage.innov8tif.com/ekyc-kenya/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Campaign - Credit Finance KPKT,https://landingpage.innov8tif.com/ekyc-for-credit-financing-industry/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Campaign - 2024 Healthcare Industry,https://landingpage.innov8tif.com/ekyc-for-ehealthcare-industry/,downloads/whitepapers/e-Healthcare Whitepaper_Innov8tif_v1.0.pdf,
Country Landing Page - Malaysia,https://landingpage.innov8tif.com/ekyc-malaysia/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Campaign - Hospitality Industry,https://landingpage.innov8tif.com/id-assurance-for-hospitality-industry/,downloads/use-cases/Innov8tif_Hospitality Industry Improving Guest Experience With eKYC Use Case_v1.0.pdf,
Campaign -- Insurance Industry,https://landingpage.innov8tif.com/eKYC-for-insurance-industry/,downloads/use-cases/Innov8tif_Insurance Use Case_v1.0.pdf,
Country Landing Page - Hong Kong,https://landingpage.innov8tif.com/ekyc-hongkong/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Country Landing Page - Philippines,https://landingpage.innov8tif.com/ekyc-philippines/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Country Landing Page - Cambodia,https://landingpage.innov8tif.com/ekyc-cambodia/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Country Landing Page - Singapore,https://landingpage.innov8tif.com/ekyc-singapore/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Country Landing Page - Thailand,https://landingpage.innov8tif.com/ekyc-thailand/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Country Landing Page - Vietnam,https://landingpage.innov8tif.com/ekyc-vietnam/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Country Landing Page - Brunei,https://landingpage.innov8tif.com/ekyc-brunei/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Country Landing Page - Myanmar,https://landingpage.innov8tif.com/ekyc-myanmar/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Country Landing Page - Indonesia,https://landingpage.innov8tif.com/ekyc-indonesia/,downloads/brochures/Innov8tif_EMAS eKYC Brochure V1.9.pdf,Registration of interest only — no PDF report
Campaign - BNPL Use Case,https://innov8tif.zoholandingpage.com/BNPL-Use-Case,downloads/use-cases/Innov8tif_BNPL Use Case_v3.1.pdf,
Whitepaper - Philippines Telco,https://landingpage.innov8tif.com/philippines-telco-whitepaper,downloads/whitepapers/20220928_Whitepaper_Phiippines_Telco_v1.2a.pdf,
Whitepaper - Cambodia Banking,https://landingpage.innov8tif.com/cambodia-banking-whitepaper,"downloads/whitepapers/(Innov8tif) Whitepaper_ The Case for ID Assurance in Cambodia.pdf",
Gaming & Gambling Use Case,Pending landing page design,downloads/use-cases/Innov8tif_Gaming & Gambling_v1.0.pdf,
ESG Insurers in ASEAN Whitepaper,Pending landing page design,downloads/whitepapers/Innov8tif_ESG Insurers in ASEAN The Role of Digital ID Verification_v1.0.pdf,
General Telco eKYC Whitepaper,Pending landing page design,downloads/whitepapers/Innov8tif_WHITEPAPER- A Telco_s Guide to Leveraging e-KYC v1.0c.pdf,
